"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13003","Sorting of products","tests","Wed May 07 11:35:40 GMT 2025","passed","Wed May 07 11:35:53 GMT 2025","TestCatalog","test_catalog","",""
"","19694","Check total and subtotal price","tests","Wed May 07 11:35:02 GMT 2025","passed","Wed May 07 11:35:22 GMT 2025","TestCartPage","test_cart_page","",""
"","7064","Log in to the system","tests","Wed May 07 11:36:28 GMT 2025","passed","Wed May 07 11:36:35 GMT 2025","TestLoginPage","test_login_page","",""
"","120184","Check total and subtotal price","tests","Wed May 07 11:30:00 GMT 2025","broken","Wed May 07 11:32:00 GMT 2025","TestCartPage","test_cart_page","",""
"","13047","Check title of product","tests","Wed May 07 11:36:50 GMT 2025","passed","Wed May 07 11:37:03 GMT 2025","TestProductPage","test_product_page","",""
"","15992","Confirmation of order","tests","Wed May 07 11:35:56 GMT 2025","passed","Wed May 07 11:36:12 GMT 2025","TestConfirmOrderPage","test_confirm_order","",""
"","9665","Write the review","tests","Wed May 07 11:36:38 GMT 2025","passed","Wed May 07 11:36:48 GMT 2025","TestProductPage","test_product_page","",""
"","12466","Count filtered items on the page","tests","Wed May 07 11:35:25 GMT 2025","passed","Wed May 07 11:35:37 GMT 2025","TestCatalog","test_catalog","",""
"","15907","Check sale price of product","tests","Wed May 07 11:37:06 GMT 2025","passed","Wed May 07 11:37:22 GMT 2025","TestProductPage","test_product_page","",""
"","10940","Registration in system","tests","Wed May 07 11:36:14 GMT 2025","passed","Wed May 07 11:36:25 GMT 2025","TestLoginPage","test_login_page","",""
